,product_id,address,price,area,bedrooms_num,bathrooms_num
25795,42107030,"Sa Pa, Lào Cai",27500000000.0,100.0,0,0
25797,41238518,"Quận 5, Hồ Chí Minh",43000000000.0,130.0,35,35
25798,42113731,"Gia Lâm, Hà Nội",3100000000.0,67.4,2,2
25799,41780158,"Thủ Dầu Một, Bình Dương",2500000000.0,69.0,2,0
25800,41288359,"Bình Thạnh, Hồ Chí Minh",42000000000.0,200.0,0,0
25801,41716881,"Bình Thạnh, Hồ Chí Minh",34000000000.0,155.0,0,0
25802,41511569,"Phú Nhuận, Hồ Chí Minh",52000000000.0,168.0,0,0
25803,40787950,"Long Biên, Hà Nội",56000000000.0,228.0,4,4
25804,40861063,"Quận 10, Hồ Chí Minh",31000000000.0,150.0,0,0
25805,40340984,"Quận 5, Hồ Chí Minh",36000000000.0,160.0,0,0
25806,39848303,"Bình Chánh, Hồ Chí Minh",3950000000.0,76.0,3,2
25807,42101901,"Tân Bình, Hồ Chí Minh",5500000000.0,43.0,3,2
25808,33453027,"Long Biên, Hà Nội",28000000000.0,155.0,6,6
25809,41807099,"Tân Bình, Hồ Chí Minh",68000000000.0,324.0,0,4
25810,42006562,"Tân Phú, Hồ Chí Minh",9200000000.0,80.0,6,5
25811,41184521,"Tân Bình, Hồ Chí Minh",40000000000.0,240.0,0,0
25812,41989356,"Quận 1, Hồ Chí Minh",49000000000.0,160.0,6,6
25813,42113600,"Gò Vấp, Hồ Chí Minh",5200000000.0,47.8,3,2
25814,42113717,"Thủ Đức, Hồ Chí Minh",3700000000.0,78.4,0,0
25816,35604240,"Quận 10, Hồ Chí Minh",33000000000.0,132.0,0,0
25817,42113596,"Hà Đông, Hà Nội",4000000000.0,80.0,2,2
25818,40615013,"Quận 7, Hồ Chí Minh",2480000000.0,55.23,1,1
25819,38714823,"Phú Nhuận, Hồ Chí Minh",36000000000.0,360.0,0,0
25820,41989099,"Quận 3, Hồ Chí Minh",51000000000.0,160.0,0,0
25822,39699038,"Nam Từ Liêm, Hà Nội",5500000000.0,108.0,3,2
25824,40749120,"Quận 1, Hồ Chí Minh",38000000000.0,88.0,2,2
25825,41559845,"Quận 7, Hồ Chí Minh",4200000000.0,74.0,2,2
25826,42108616,"Tân Phú, Hồ Chí Minh",28500000000.0,158.0,0,0
25827,42113593,"Đống Đa, Hà Nội",12000000000.0,55.0,0,0
